"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G01000900504002","010090504002","86","7"
"G01000900504003","010090504003","84","6"
"G01000900504004","010090504004","85","7"
"G01000900505011","010090505011","79","6"
"G01000900505012","010090505012","83","6"
"G01000900505013","010090505013","83","6"
"G01000900505021","010090505021","70","4"
"G01000900505022","010090505022","63","3"
"G01000900505023","010090505023","72","4"
"G01000900506011","010090506011","71","4"
"G01000900506012","010090506012","86","7"
"G01000900506013","010090506013","68","4"
"G01000900506031","010090506031","60","3"
"G01000900506032","010090506032","51","2"
"G01000900506033","010090506033","54","2"
"G01000900506041","010090506041","74","5"
"G01000900506042","010090506042","69","4"
"G01000900506043","010090506043","52","2"
"G01000900506044","010090506044","58","3"
"G01000900507011","010090507011","85","7"
"G01000900507012","010090507012","67","4"
"G01000900507013","010090507013","78","5"
"G01000900507014","010090507014","76","5"
"G01000900507021","010090507021","92","8"
"G01000900507022","010090507022","83","6"
"G01001109521001","010119521001","92","8"
"G01001109522011","010119522011","95","9"
"G01001109522012","010119522012","95","9"
"G01001109522021","010119522021","99","10"
"G01001109522022","010119522022","94","9"
"G01001109522023","010119522023","GQ","GQ"
"G01001109525001","010119525001","91","8"
"G01001109525002","010119525002","91","8"
"G01001109525003","010119525003","91","8"
"G01001309527001","010139527001","82","6"
"G01001309527002","010139527002","84","6"
"G01001309528001","010139528001","77","5"
"G01001309529001","010139529001","80","6"
"G01001309529002","010139529002","91","8"
"G01001309530001","010139530001","93","8"
"G01001309530002","010139530002","94","9"
"G01001309531001","010139531001","96","9"
"G01001309531002","010139531002","100","10"
"G01001309531003","010139531003","97","9"
"G01001309532001","010139532001","82","6"
"G01001309532002","010139532002","92","8"
"G01001309532003","010139532003","88","7"
"G01001309532004","010139532004","85","7"
"G01001309533001","010139533001","95","9"
"G01001309533002","010139533002","90","8"
"G01001309534001","010139534001","99","10"
"G01001309534002","010139534002","90","8"
"G01001309535001","010139535001","92","8"
"G01001500002001","010150002001","98","10"
"G01001500002002","010150002002","98","10"
"G01001500003001","010150003001","100","10"
"G01001500003002","010150003002","100","10"
"G01001500004001","010150004001","96","9"
"G01001500004002","010150004002","96","9"
"G01001500004003","010150004003","97","9"
"G01001500005001","010150005001","100","10"
"G01001500005002","010150005002","100","10"
"G01001500006001","010150006001","100","10"
"G01001500006002","010150006002","96","9"
"G01001500007001","010150007001","88","7"
"G01001500007002","010150007002","97","9"
"G01001500007003","010150007003","66","4"
"G01001500007004","010150007004","GQ-PH","GQ-PH"
"G01001500008001","010150008001","78","5"
"G01001500009001","010150009001","59","3"
"G01001500009002","010150009002","51","2"
"G01001500009003","010150009003","50","2"
"G01001500010001","010150010001","59","3"
"G01001500010002","010150010002","68","4"
"G01001500010003","010150010003","65","4"
"G01001500010004","010150010004","68","4"
"G01001500011011","010150011011","43","2"
"G01001500011012","010150011012","43","2"
"G01001500011021","010150011021","97","9"
"G01001500011022","010150011022","97","9"
"G01001500011031","010150011031","74","5"
"G01001500011032","010150011032","71","4"
"G01001500011033","010150011033","87","7"
"G01001500012011","010150012011","73","5"
"G01001500012012","010150012012","GQ","GQ"
"G01001500012013","010150012013","89","8"
"G01001500012021","010150012021","72","4"
"G01001500012022","010150012022","83","6"
"G01001500012023","010150012023","79","6"
"G01001500013001","010150013001","100","10"
"G01001500013002","010150013002","97","9"
"G01001500014001","010150014001","93","8"
"G01001500014002","010150014002","90","8"
"G01001500014003","010150014003","94","9"
"G01001500014004","010150014004","90","8"
"G01001500015011","010150015011","84","6"
"G01001500015012","010150015012","84","6"
"G01001500015013","010150015013","78","5"
"G01001500015021","010150015021","66","4"
"G01001500015022","010150015022","94","9"
"G01001500016001","010150016001","97","9"
"G01001500016002","010150016002","97","9"
"G01001500016003","010150016003","97","9"
"G01001500016004","010150016004","98","10"
"G01001500017001","010150017001","76","5"
"G01001500017002","010150017002","76","5"
"G01001500017003","010150017003","76","5"
"G01001500017004","010150017004","76","5"
"G01001500018011","010150018011","81","6"
"G01001500018012","010150018012","80","6"
"G01001500018021","010150018021","80","6"
"G01001500018022","010150018022","73","5"
"G01001500018023","010150018023","78","5"
"G01001500018024","010150018024","81","6"
"G01001500020011","010150020011","59","3"
"G01001500020012","010150020012","62","3"
"G01001500020021","010150020021","56","3"
"G01001500020022","010150020022","66","4"
"G01001500020023","010150020023","75","5"
"G01001500021011","010150021011","GQ","GQ"
"G01001500021012","010150021012","97","9"
"G01001500021013","010150021013","97","9"
"G01001500021014","010150021014","97","9"
"G01001500021021","010150021021","67","4"
"G01001500021022","010150021022","76","5"
"G01001500021023","010150021023","71","4"
"G01001500021041","010150021041","68","4"
"G01001500021042","010150021042","88","7"
"G01001500021043","010150021043","75","5"
"G01001500021051","010150021051","77","5"
"G01001500021052","010150021052","80","6"
"G01001500022001","010150022001","85","7"
"G01001500022002","010150022002","84","6"
"G01001500022003","010150022003","85","7"
"G01001500022004","010150022004","89","8"
"G01001500023001","010150023001","92","8"
"G01001500023002","010150023002","91","8"
"G01001500023003","010150023003","93","8"
"G01001500023004","010150023004","94","9"
"G01001500024001","010150024001","87","7"
"G01001500024002","010150024002","81","6"
"G01001500024003","010150024003","85","7"
"G01001500025021","010150025021","81","6"
"G01001500025022","010150025022","52","2"
"G01001500025023","010150025023","79","6"
"G01001500025024","010150025024","71","4"
"G01001500025025","010150025025","83","6"
"G01001500025031","010150025031","65","4"
"G01001500025032","010150025032","67","4"
"G01001500025033","010150025033","65","4"
"G01001500025041","010150025041","76","5"
"G01001500025042","010150025042","87","7"
"G01001500025043","010150025043","66","4"
"G01001500026001","010150026001","76","5"
"G01001500026002","010150026002","64","3"
"G01001500026003","010150026003","72","4"
"G01001500026004","010150026004","68","4"
"G01001509819011","010159819011","PH","PH"
"G01001509819021","010159819021","PH","PH"
"G01001509819031","010159819031","PH","PH"
"G01001709538001","010179538001","87","7"
"G01001709538002","010179538002","95","9"
"G01001709538003","010179538003","70","4"
"G01001709539001","010179539001","80","6"
"G01001709539002","010179539002","79","6"
"G01001709539003","010179539003","91","8"
"G01001709540011","010179540011","76","5"
"G01001709540012","010179540012","69","4"
"G01001709540021","010179540021","84","6"
"G01001709540022","010179540022","85","7"
"G01001709540023","010179540023","85","7"
"G01001709540024","010179540024","85","7"
"G01001709542001","010179542001","93","8"
"G01001709542002","010179542002","80","6"
"G01001709543001","010179543001","85","7"
"G01001709543002","010179543002","84","6"
"G01001709543003","010179543003","87","7"
"G01001709543004","010179543004","90","8"
"G01001709546001","010179546001","85","7"
"G01001709546002","010179546002","87","7"
"G01001709546003","010179546003","92","8"
"G01001709547001","010179547001","89","8"
"G01001709547002","010179547002","69","4"
"G01001709547003","010179547003","90","8"
"G01001709547004","010179547004","70","4"
"G01001709548001","010179548001","84","6"
"G01001709548002","010179548002","89","8"
"G01001709548003","010179548003","GQ","GQ"
"G01001709548004","010179548004","96","9"
"G01001709548005","010179548005","98","10"
"G01001909557011","010199557011","86","7"
"G01001909557012","010199557012","71","4"
"G01001909557013","010199557013","73","5"
"G01001909557021","010199557021","90","8"
"G01001909557022","010199557022","85","7"
"G01001909557023","010199557023","89","8"
"G01001909558011","010199558011","89","8"
"G01001909558012","010199558012","86","7"
"G01001909558021","010199558021","77","5"
"G01001909558022","010199558022","71","4"
"G01001909558023","010199558023","74","5"
"G01001909559001","010199559001","70","4"
"G01001909559002","010199559002","75","5"
"G01001909559003","010199559003","69","4"
"G01001909559004","010199559004","73","5"
"G01001909560001","010199560001","81","6"
"G01001909560002","010199560002","61","3"
"G01001909560003","010199560003","45","2"
"G01001909560004","010199560004","77","5"
"G01001909560005","010199560005","70","4"
"G01001909561011","010199561011","81","6"
"G01001909561012","010199561012","80","6"
"G01001909561021","010199561021","87","7"
"G01001909561022","010199561022","87","7"
"G01001909561023","010199561023","87","7"
"G01002100601011","010210601011","75","5"
"G01002100601012","010210601012","86","7"
"G01002100601013","010210601013","77","5"
"G01002100601014","010210601014","73","5"
"G01002100601031","010210601031","77","5"
"G01002100601032","010210601032","63","3"
"G01002100601041","010210601041","65","4"
"G01002100601042","010210601042","75","5"
"G01002100601043","010210601043","84","6"
"G01002100602001","010210602001","66","4"
"G01002100602002","010210602002","84","6"
"G01002100603001","010210603001","79","6"
"G01002100603002","010210603002","79","6"
"G01002100603003","010210603003","72","4"
"G01002100603004","010210603004","71","4"
"G01002100604011","010210604011","74","5"
"G01002100604012","010210604012","83","6"
"G01002100604013","010210604013","61","3"
"G01002100604031","010210604031","75","5"
"G01002100604032","010210604032","86","7"
"G01002100604041","010210604041","91","8"
"G01002100604042","010210604042","88","7"
"G01002100604043","010210604043","93","8"
"G01002100605001","010210605001","75","5"
"G01002100605002","010210605002","88","7"
"G01002100605003","010210605003","83","6"
"G01002100606001","010210606001","74","5"
"G01002100606002","010210606002","66","4"
"G01002100607011","010210607011","59","3"
"G01002100607012","010210607012","87","7"
"G01002100607021","010210607021","96","9"
"G01002100607022","010210607022","90","8"
"G01002309567001","010239567001","95","9"
"G01002309567002","010239567002","95","9"
"G01002309567003","010239567003","95","9"
"G01002309567004","010239567004","95","9"
"G01002309568001","010239568001","86","7"
"G01002309568002","010239568002","86","7"
"G01002309568003","010239568003","86","7"
"G01002309568004","010239568004","86","7"
"G01002309568005","010239568005","86","7"
"G01002309569001","010239569001","80","6"
"G01002309569002","010239569002","95","9"
"G01002309569003","010239569003","94","9"
"G01002309569004","010239569004","88","7"
"G01002309570001","010239570001","92","8"
"G01002309570002","010239570002","89","8"
"G01002509575001","010259575001","87","7"
"G01002509575002","010259575002","86","7"
"G01002509576011","010259576011","81","6"
"G01002509576031","010259576031","68","4"
"G01002509576032","010259576032","68","4"
"G01002509576041","010259576041","87","7"
"G01002509576042","010259576042","69","4"
"G01002509576043","010259576043","66","4"
"G01002509577001","010259577001","100","10"
"G01002509577002","010259577002","98","10"
"G01002509578001","010259578001","92","8"
"G01002509578002","010259578002","84","6"
"G01002509578003","010259578003","90","8"
"G01002509578004","010259578004","85","7"
"G01002509578005","010259578005","87","7"
"G01002509578006","010259578006","93","8"
"G01002509579011","010259579011","61","3"
"G01002509579012","010259579012","73","5"
"G01002509579013","010259579013","52","2"
"G01002509579021","010259579021","83","6"
"G01002509579022","010259579022","85","7"
"G01002509579023","010259579023","84","6"
"G01002509579024","010259579024","84","6"
"G01002509580031","010259580031","93","8"
"G01002509580032","010259580032","98","10"
"G01002709589001","010279589001","78","5"
"G01002709589002","010279589002","78","5"
"G01002709589003","010279589003","81","6"
"G01002709589004","010279589004","76","5"
"G01002709590001","010279590001","93","8"
"G01002709590002","010279590002","86","7"
"G01002709590003","010279590003","85","7"
"G01002709591001","010279591001","77","5"
"G01002709591002","010279591002","79","6"
"G01002709592001","010279592001","84","6"
"G01002709592002","010279592002","78","5"
"G01002909595001","010299595001","90","8"
"G01002909595002","010299595002","91","8"
"G01002909596001","010299596001","81","6"
"G01002909596002","010299596002","65","4"
"G01002909596003","010299596003","86","7"
"G01002909597001","010299597001","85","7"
"G01002909597002","010299597002","86","7"
"G01002909598001","010299598001","84","6"
"G01002909598002","010299598002","65","4"
"G01002909598003","010299598003","85","7"
"G01003100101001","010310101001","92","8"
"G01003100101002","010310101002","92","8"
"G01003100102001","010310102001","76","5"
"G01003100102002","010310102002","79","6"
"G01003100103001","010310103001","71","4"
"G01003100103002","010310103002","67","4"
"G01003100104001","010310104001","94","9"
"G01003100104002","010310104002","94","9"
"G01003100105001","010310105001","93","8"
"G01003100105002","010310105002","93","8"
"G01003100105003","010310105003","93","8"
"G01003100105004","010310105004","93","8"
"G01003100105005","010310105005","93","8"
"G01003100106001","010310106001","96","9"
"G01003100106002","010310106002","89","8"
"G01003100107001","010310107001","79","6"
"G01003100108001","010310108001","45","2"
"G01003100108002","010310108002","58","3"
"G01003100109001","010310109001","71","4"
"G01003100109002","010310109002","76","5"
"G01003100110001","010310110001","87","7"
"G01003100110002","010310110002","70","4"
"G01003100111001","010310111001","75","5"
"G01003100112031","010310112031","70","4"
"G01003100112032","010310112032","54","2"
"G01003100112033","010310112033","73","5"
"G01003100112041","010310112041","32","1"
"G01003100112042","010310112042","31","1"
"G01003100112051","010310112051","62","3"
"G01003100112052","010310112052","59","3"
"G01003100112061","010310112061","73","5"
"G01003100112062","010310112062","77","5"
"G01003100112063","010310112063","79","6"
"G01003100113001","010310113001","86","7"
"G01003100113002","010310113002","84","6"
"G01003100113003","010310113003","84","6"
"G01003300201001","010330201001","87","7"
"G01003300201002","010330201002","93","8"
"G01003300201003","010330201003","98","10"
"G01003300201004","010330201004","83","6"
"G01003300202001","010330202001","95","9"
"G01003300202002","010330202002","83","6"
"G01003300203001","010330203001","99","10"
"G01003300203002","010330203002","100","10"
"G01003300203003","010330203003","100","10"
"G01003300204001","010330204001","61","3"
"G01003300204002","010330204002","71","4"
"G01003300205001","010330205001","86","7"
"G01003300205002","010330205002","84","7"
"G01003300205003","010330205003","80","6"
"G01003300205004","010330205004","68","4"
"G01003300206001","010330206001","80","6"
"G01003300206002","010330206002","69","4"
"G01003300206003","010330206003","85","7"
"G01003300206004","010330206004","71","4"
"G01003300207031","010330207031","63","3"
"G01003300207032","010330207032","54","2"
"G01003300207033","010330207033","65","4"
"G01003300207034","010330207034","87","7"
"G01003300207041","010330207041","73","5"
"G01003300207042","010330207042","66","4"
"G01003300207043","010330207043","77","5"
"G01003300207044","010330207044","77","5"
"G01003300207051","010330207051","84","7"
"G01003300207061","010330207061","34","1"
"G01003300207062","010330207062","64","3"
"G01003300207063","010330207063","62","3"
"G01003300207064","010330207064","41","2"
"G01003300208011","010330208011","61","3"
"G01003300208012","010330208012","82","6"
"G01003300208013","010330208013","81","6"
"G01003300208021","010330208021","90","8"
"G01003300208022","010330208022","88","7"
"G01003300208023","010330208023","92","8"
"G01003300209011","010330209011","72","4"
"G01003300209012","010330209012","81","6"
"G01003300209013","010330209013","85","7"
"G01003300209021","010330209021","79","6"
"G01003300209022","010330209022","78","5"
"G01003300209023","010330209023","77","5"
"G01003300209024","010330209024","79","6"
"G01003300210001","010330210001","91","8"
"G01003300210002","010330210002","93","9"
"G01003300210003","010330210003","89","8"
"G01003300210004","010330210004","91","8"
"G01003509602001","010359602001","89","8"
"G01003509602002","010359602002","92","8"
"G01003509603001","010359603001","90","8"
"G01003509603002","010359603002","86","7"
"G01003509604001","010359604001","94","9"
"G01003509604002","010359604002","93","9"
"G01003509604003","010359604003","94","9"
"G01003509605001","010359605001","89","8"
"G01003509605002","010359605002","94","9"
"G01003509606001","010359606001","95","9"
"G01003509606002","010359606002","94","9"
"G01003509606003","010359606003","95","9"
"G01003709610001","010379610001","93","9"
"G01003709610002","010379610002","93","9"
"G01003709610003","010379610003","93","9"
"G01003709611001","010379611001","88","7"
"G01003709611002","010379611002","82","6"
"G01003709611003","010379611003","86","7"
"G01003709612001","010379612001","88","7"
"G01003709612002","010379612002","97","9"
"G01003709612003","010379612003","50","2"
"G01003709612004","010379612004","61","3"
"G01003909616001","010399616001","77","5"
"G01003909616002","010399616002","63","3"
"G01003909616003","010399616003","69","4"
"G01003909616004","010399616004","74","5"
"G01003909617001","010399617001","93","9"
"G01003909617002","010399617002","91","8"
"G01003909617003","010399617003","90","8"
"G01003909618001","010399618001","86","7"
"G01003909618002","010399618002","93","9"
"G01003909619001","010399619001","71","4"
"G01003909619002","010399619002","79","6"
"G01003909620001","010399620001","82","6"
"G01003909620002","010399620002","85","7"
"G01003909620003","010399620003","77","5"
"G01003909620004","010399620004","85","7"
"G01003909621001","010399621001","97","9"
"G01003909621002","010399621002","79","6"
"G01003909623001","010399623001","87","7"
"G01003909623002","010399623002","70","4"
"G01003909623003","010399623003","61","3"
"G01003909624001","010399624001","82","6"
"G01003909624002","010399624002","84","7"
"G01003909624003","010399624003","84","7"
"G01003909624004","010399624004","75","5"
"G01003909625001","010399625001","94","9"
"G01003909625002","010399625002","93","9"
"G01003909626001","010399626001","93","9"
"G01003909626002","010399626002","94","9"
"G01003909627001","010399627001","96","9"
"G01003909627002","010399627002","96","9"
"G01003909628001","010399628001","89","8"
"G01003909628002","010399628002","92","8"
"G01003909629001","010399629001","80","6"
"G01003909629002","010399629002","67","4"
"G01003909630001","010399630001","87","7"
"G01003909630002","010399630002","82","6"
"G01003909630003","010399630003","96","9"
"G01003909630004","010399630004","91","8"
"G01004109634001","010419634001","88","7"
"G01004109634002","010419634002","89","8"
"G01004109635001","010419635001","94","9"
"G01004109635002","010419635002","89","8"
"G01004109636001","010419636001","88","7"
"G01004109636002","010419636002","94","9"
"G01004109636003","010419636003","87","7"
"G01004109637001","010419637001","70","4"
"G01004109637002","010419637002","93","9"
"G01004109637003","010419637003","68","4"
"G01004109637004","010419637004","71","4"
"G01004109638001","010419638001","92","8"
"G01004109639001","010419639001","97","9"
"G01004309641001","010439641001","86","7"
"G01004309641002","010439641002","88","7"
"G01004309641003","010439641003","81","6"
"G01004309641004","010439641004","61","3"
"G01004309641005","010439641005","90","8"
"G01004309642011","010439642011","73","5"
"G01004309642012","010439642012","79","6"
"G01004309642013","010439642013","81","6"
"G01004309642021","010439642021","65","4"
"G01004309642022","010439642022","78","5"
"G01004309642023","010439642023","80","6"
"G01004309643001","010439643001","70","4"
"G01004309643002","010439643002","69","4"
"G01004309643003","010439643003","52","2"
"G01004309643004","010439643004","85","7"
"G01004309644001","010439644001","68","4"
"G01004309644002","010439644002","69","4"
"G01004309645001","010439645001","67","4"
"G01004309645002","010439645002","72","4"
"G01004309645003","010439645003","69","4"
"G01004309646001","010439646001","67","4"
"G01004309646002","010439646002","61","3"
"G01004309646003","010439646003","89","8"
"G01004309647001","010439647001","73","5"
"G01004309647002","010439647002","73","5"
"G01004309647003","010439647003","77","5"
"G01004309648001","010439648001","63","3"
"G01004309648002","010439648002","56","3"
"G01004309648003","010439648003","63","3"
"G01004309648004","010439648004","82","6"
"G01004309649011","010439649011","49","2"
"G01004309649012","010439649012","66","4"
"G01004309649013","010439649013","78","5"
"G01004309649014","010439649014","67","4"
"G01004309649021","010439649021","55","3"
"G01004309649022","010439649022","61","3"
"G01004309650011","010439650011","63","3"
"G01004309650012","010439650012","54","2"
"G01004309650021","010439650021","81","6"
"G01004309650022","010439650022","62","3"
"G01004309650023","010439650023","84","7"
"G01004309650024","010439650024","80","6"
"G01004309651001","010439651001","68","4"
"G01004309651002","010439651002","52","2"
"G01004309652001","010439652001","75","5"
"G01004309652002","010439652002","67","4"
"G01004309653001","010439653001","73","5"
"G01004309653002","010439653002","75","5"
"G01004309653003","010439653003","91","8"
"G01004309654011","010439654011","93","9"
"G01004309654012","010439654012","79","6"
"G01004309654013","010439654013","88","7"
"G01004309654021","010439654021","89","8"
"G01004309654022","010439654022","83","6"
"G01004309654023","010439654023","84","7"
"G01004309654024","010439654024","88","7"
"G01004309655011","010439655011","83","6"
"G01004309655021","010439655021","86","7"
"G01004309655022","010439655022","68","4"
"G01004309655023","010439655023","49","2"
"G01004309655024","010439655024","82","6"
"G01004309656001","010439656001","73","5"
"G01004309656002","010439656002","43","2"
"G01004309656003","010439656003","73","5"
"G01004309657001","010439657001","78","5"
"G01004309657002","010439657002","77","5"
"G01004500200001","010450200001","78","5"
"G01004500200002","010450200002","82","6"
"G01004500200003","010450200003","78","5"
"G01004500201001","010450201001","93","9"
"G01004500201002","010450201002","77","5"
"G01004500201003","010450201003","89","8"
"G01004500202001","010450202001","89","8"
"G01004500202002","010450202002","87","7"
"G01004500203001","010450203001","73","5"
"G01004500203002","010450203002","86","7"
"G01004500204001","010450204001","67","4"
"G01004500204002","010450204002","91","8"
"G01004500205001","010450205001","70","4"
"G01004500205002","010450205002","92","8"
"G01004500205003","010450205003","85","7"
"G01004500207001","010450207001","99","10"
